정류소명,정류소ID,승차건수(총합계),하차건수(총합계),승차건수(카드),하차건수(카드),승차건수(현금),일평균 승하차건수
청천초등학교후문,40579,12624,1525,12452,1525,172,471
청천치안센터,40533,20615,11694,20252,11694,363,1076
청천치안센터,40537,7318,9258,7160,9258,158,552
청천푸르지오아파트,40488,11278,102,11014,102,264,379
청천푸르지오아파트,40515,12574,1267,12509,1267,65,461
청천푸르지오아파트,40516,1329,9517,1299,9517,30,361
청천푸르지오아파트,40811,7711,1464,7683,1464,28,305
청천푸르지오아파트,40812,785,4395,765,4395,20,172
청천푸르지오아파트,40894,21,2331,21,2331,0,78
청천하우스디아파트,40475,6280,1782,6171,1782,109,268
청천하우스디아파트,40477,550,4316,533,4316,17,162
청학동.한국전력남인천지사,38230,3330,3809,3203,3809,127,237
청학동.한국전력남인천지사,38239,7198,6462,6986,6462,212,455
청학사거리,38256,23115,13432,22752,13432,363,1218
청학사거리,38259,9090,15621,8963,15621,127,823
청학사거리,38509,1548,1833,1535,1833,13,112
청학아파트,38236,9143,5352,8969,5352,174,483
청학아파트,38341,6462,7568,6347,7568,115,467
청학중학교,38160,4139,5982,4005,5982,134,337
청학중학교,38161,3390,2109,3247,2109,143,183
청학중학교,38496,1635,849,1591,849,44,82
청학초등학교,38181,3094,3601,3000,3601,94,223
청학초등학교,38185,3328,2947,3218,2947,110,209
청학초등학교,38190,1711,2486,1549,2486,162,139
체육공원,90214,23,10,20,10,3,1
체육공원앞,35605,2,325,2,325,0,10
체육공원앞,35606,314,2,314,2,0,10
초은고등학교,89025,7309,6955,7256,6955,53,475
초은고등학교,89026,3720,8901,3652,8901,68,420
초정마을,41252,3541,2707,3465,2707,76,208
초정마을,41254,2366,1050,2310,1050,56,113
초지,43016,29,39,29,39,0,2
초지대교,43017,128,426,125,426,3,18
초지대교,43071,1253,374,1188,374,65,54
초지대교,43106,170,664,140,664,30,27
초지리,43026,95,199,73,199,22,9
초지리,43093,9,53,9,53,0,2
초지삼거리,43112,53,33,51,33,2,2
초지삼거리,43147,0,19,0,19,0,0
초지삼거리,43508,10,54,7,54,3,2
초지진,43024,18,98,18,98,0,3
초지진,43025,237,141,227,141,10,12
초지큰말,43260,29,0,28,0,1,0
초지큰말,43512,1,12,1,12,0,0
축현초등학교.인천시립박물관,38151,4889,2739,4809,2739,80,254
축현초등학교.인천시립박물관,38152,2502,4502,2448,4502,54,233
축협,43061,1287,626,1247,626,40,63
충렬사,43326,17,0,17,0,0,0
충렬사,43629,54,19,53,19,1,2
충성아파트,40117,770,2103,754,2103,16,95
충정로역2호선,22064,11162,93,11149,93,13,375
치마바위,43247,1,35,1,35,0,1
치마바위,43646,26,0,23,0,3,0
카페거리,35727,24,34,24,34,0,1
카페거리,35728,7,74,7,74,0,2
칼빈매니토바국제학교,38370,2009,4395,1976,4395,33,213
칼빈매니토바국제학교,38435,3612,553,3417,553,195,138
칼빈매니토바국제학교,38500,4747,2858,4638,2858,109,253
캐슬해모로,39845,745,95,727,95,18,28
캐슬해모로,39846,4832,514,4743,514,89,178
캐슬해모로,39848,365,577,344,577,21,31
캐슬해모로,39849,735,3035,719,3035,16,125
캠퍼스타운역,38419,10885,16386,10813,16386,72,909
캠퍼스타운역,38420,7110,7305,6978,7305,132,480
캠퍼스타운역(3번출구),38388,45,3122,39,3122,6,105
캠퍼스타운역(3번출구),38717,729,30,724,30,5,25
커넬워크,38415,896,2477,882,2477,14,112
커넬워크,38417,2832,1528,2792,1528,40,145
커넬워크(4동),38527,569,1328,545,1328,24,63
컨벤시아,38372,659,2272,641,2272,18,97
코세스물류창고,89197,70,8,70,8,0,2
코스모스아파트,42098,327,1084,317,1084,10,47
코오롱더프라우,38439,263,806,251,806,12,35
코오롱더프라우,38440,942,204,922,204,20,38
코오롱아파트작전중.고.여고,41117,3260,4421,3193,4421,67,256
"쿠팡16,17센터",35865,211,232,207,232,4,14
쿠팡물류센터,89157,1,460,1,460,0,15
큐티엘,90218,9,7,9,7,0,0
큰말,43937,7,0,7,0,0,0
큰말,43938,0,9,0,9,0,0
큰말,43949,8,7,8,7,0,0
큰무리선착장,35710,258,144,255,144,3,13
큰무리선착장,35712,454,611,454,611,0,35
큰방죽사거리,39144,2550,3368,2510,3368,40,197
큰방죽사거리,39145,1396,3130,1370,3130,26,150
큰방죽삼거리,39575,112,180,112,180,0,9
큰방죽삼거리,39576,99,505,99,505,0,20
큰산너머입구,44013,19,189,19,189,0,6
큰산너머입구,44014,268,14,268,14,0,9
킹스빌타운,41315,3056,3229,2999,3229,57,209
타운하우스공장.명진화학,89226,5,436,5,436,0,14
타운하우스공장.명진화학,89227,317,7,315,7,2,10
탄토 마을,90381,18,0,18,0,0,0
탄토마을,90378,15,26,14,26,1,1
탑재,43115,5,70,5,70,0,2
탑재,43327,318,231,312,231,6,18
탑재,43579,266,291,260,291,6,18
태경아파트,38275,8200,8672,7960,8672,240,562
태산.대진아파트,38294,2406,2580,2395,2580,11,166
태산아파트,41193,7355,11320,7198,11320,157,622
태산아파트,42227,77,178,76,178,1,8
태산아파트·하나아파트,41578,1324,1980,1319,1980,5,110
태양공단,42147,2538,1522,2518,1522,20,135
태양공단,42148,2985,2130,2923,2130,62,170
태양주택,40204,18,1167,15,1167,3,39
태영아파트,42298,3639,3656,3563,3656,76,243
태영아파트,42300,3754,3447,3620,3447,134,240
태평1차아파트,39241,3810,305,3810,305,0,137
태평1차아파트,39242,210,3736,210,3736,0,131
태평1차아파트,39516,9670,1932,9589,1932,81,386
태평1차아파트,39517,2252,10952,2228,10952,24,440
태평2차아파트,39225,12506,3795,12440,3795,66,543
태평2차아파트,39518,3486,8575,3398,8575,88,402
태평아파트,38083,7812,7217,7720,7217,92,500
태평아파트,41183,1178,206,1148,206,30,46
태평아파트.주안한신휴플러스아파트,37180,2807,4280,2714,4280,93,236
태평아파트.주안한신휴플러스아파트,37183,1288,1794,1239,1794,49,102
태평아파트1차(A),42326,4269,13060,4207,13060,62,577
태평아파트1차(B),42325,11610,3807,11469,3807,141,513
태평아파트2차(A),42317,2167,3482,2147,3482,20,188
태평아파트2차(B),42318,5276,2883,5200,2883,76,271
태평아파트입구,39274,127,1732,126,1732,1,61
태평아파트입구,39276,748,286,734,286,14,34
태평양산업,39066,2456,562,2451,562,5,100
태평양인천물류센터,42012,1780,2460,1776,2460,4,141
태화.두진아파트,39441,8700,6104,8629,6104,71,493
태화두진아파트,39445,7419,6778,7365,6778,54,473
태화아파트,37413,4870,4139,4835,4139,35,300
태화아파트,37416,6251,5210,6165,5210,86,382
태화아파트,40545,8957,3817,8770,3817,187,425
태화아파트,40810,1717,46,1715,46,2,58
태화한진아파트,41132,4817,2561,4804,2561,13,245
태화한진아파트612동,41135,1011,2688,977,2688,34,123
택리,43233,45,6,44,6,1,1
택리,43859,3,57,3,57,0,2
택리교회,43229,17,105,16,105,1,4
택리교회,43860,109,20,103,20,6,4
테니스장,40456,224,228,223,228,1,15
테일코리아,89430,201,64,199,64,2,8
테일코리아,89431,489,157,486,157,3,21
테크노파크IT센타,39726,746,2327,722,2327,24,102
테크노파크IT센타,39727,2371,2110,2293,2110,78,149
테크노파크IT센터,39938,3158,5411,3072,5411,86,285
테크노파크역,38421,28052,15008,27762,15008,290,1435
테크노파크역,38422,24261,25685,24030,25685,231,1664
토지금고,37114,8134,2181,7952,2181,182,343
토지금고,37115,3739,11282,3630,11282,109,500
토지금고시장,37102,17503,14136,17182,14136,321,1054
토지금고시장앞,37509,11169,9963,10994,9963,175,704
트러스(서구장애인직업재활시설),42809,338,2,326,2,12,11
트러스(서구장애인직업재활시설),42810,1,294,1,294,0,9
트레지움1단지.다니엘병원,55076,3054,974,2988,974,66,134
트레지움1단지.다니엘병원,55077,834,2123,830,2123,4,98
트루엘에코시티아파트(후문),42049,1546,1031,1526,1031,20,85
트루엘에코시티아파트(후문),42050,1329,1351,1292,1351,37,89
파라곤보타닉파크,89422,1604,6,1575,6,29,53
파라곤보타닉파크(고산터널),89395,910,294,909,294,1,40
파라다이스공원,43391,130,30,128,30,2,5
파라다이스공원,43828,16,174,13,174,3,6
파라다이스시티역,35748,0,18,0,18,0,0
팔도주유소,40175,243,282,237,282,6,17
팔도주유소,40774,10237,6871,9993,6871,244,570
팬더아파트,39968,329,2,329,2,0,11
팬더아파트,39980,3,305,1,305,2,10
펜션마을,90392,2,22,2,22,0,0
펜션마을,90393,8,0,8,0,0,0
평전,43258,1,46,1,46,0,1
평화전망대,43743,53,68,53,68,0,4
평화전망대,43760,49,8,46,8,3,1
포내교회,35874,2,1,2,1,0,0
포내교회,35875,2,26,2,26,0,0
포도마을,55039,2432,2698,2410,2698,22,171
포도마을사거리.현대백화점.이마트,55055,8954,9029,8884,9029,70,599
포도밭,43939,6,10,6,10,0,0
포도밭,43940,25,11,21,11,4,1
포레시안101동앞,39729,6015,5282,5894,5282,121,376
포레시안101동앞,39730,4367,3483,4311,3483,56,261
